Date	fest	data	Sat
01/01/2015	0.2107761	07/01/2015 	0.1302
02/01/2015	0.2110247	12/01/2015 	0.1995
03/01/2015	0.2097021	18/01/2015 	0.1596
04/01/2015	0.2085432	19/01/2015 	0.3843
05/01/2015	0.2080407	30/01/2015 	0.3444
06/01/2015	0.2067993	31/01/2015 	0.3486
07/01/2015	0.206064	05/02/2015 	0.2919
08/01/2015	0.2052934	12/02/2015 	0.2688
09/01/2015	0.2048408	17/02/2015 	0.2247
10/01/2015	0.2037527	23/02/2015 	0.3822
11/01/2015	0.2025149	24/02/2015 	0.273
12/01/2015	0.2018951	01/03/2015 	0.2058
13/01/2015	0.2008351	07/03/2015 	0.1869
14/01/2015	0.1997128	08/03/2015 	0.21
15/01/2015	0.1989133	13/03/2015 	0.1197
16/01/2015	0.1980398	19/03/2015 	0.0966
17/01/2015	0.1974726	20/03/2015 	0.0987
18/01/2015	0.1991072	25/03/2015 	0.2373
19/01/2015	0.2046297	31/03/2015 	0.2478
20/01/2015	0.2058577	01/04/2015 	0.1092
21/01/2015	0.2057843	06/04/2015 	0.1932
22/01/2015	0.2111525	12/04/2015 	0.1533
23/01/2015	0.2231303	13/04/2015 	0.0651
24/01/2015	0.2270809	18/04/2015 	0.0945
25/01/2015	0.22813	24/04/2015 	0.1386
26/01/2015	0.2272383	25/04/2015 	0.0273
27/01/2015	0.2263676	30/04/2015 	0.1029
28/01/2015	0.2251305	06/05/2015 	0.1449
29/01/2015	0.2244384	07/05/2015 	0.0777
30/01/2015	0.2237243	12/05/2015 	0.1701
31/01/2015	0.2240967	18/05/2015 	0.1785
01/02/2015	0.2256176	19/05/2015 	0.1239
02/02/2015	0.2256755	30/05/2015 	0.1659
03/02/2015	0.2249354	31/05/2015 	0.1344
04/02/2015	0.2247984	05/06/2015 	0.1638
05/02/2015	0.224552	11/06/2015 	0.1491
06/02/2015	0.2255498	12/06/2015 	0.1134
07/02/2015	0.2253325	17/06/2015 	0.3339
08/02/2015	0.2260059	23/06/2015 	0.2121
09/02/2015	0.2264093	29/06/2015 	0.1491
10/02/2015	0.2246451	06/07/2015 	0.105
11/02/2015	0.2236719	11/07/2015 	0.1323
12/02/2015	0.2228248	17/07/2015 	0.1512
13/02/2015	0.2218228	18/07/2015 	0.1113
14/02/2015	0.2204782	23/07/2015 	0.3843
15/02/2015	0.2192396	29/07/2015 	0.1491
16/02/2015	0.2181758	11/08/2015 	0.1029
17/02/2015	0.2174499	16/08/2015 	0.3297
18/02/2015	0.2164838	22/08/2015 	0.1113
19/02/2015	0.2149396	23/08/2015 	0.105
20/02/2015	0.2133782	28/08/2015 	0.0819
21/02/2015	0.2119607	03/09/2015 	0.0861
22/02/2015	0.2120056	04/09/2015 	0.2583
23/02/2015	0.2128108	09/09/2015 	0.0651
24/02/2015	0.2125019	15/09/2015 	0.1029
25/02/2015	0.2158461	16/09/2015 	0.0882
26/02/2015	0.2190211	21/09/2015 	0.1176
27/02/2015	0.2197982	28/09/2015 	0.1575
28/02/2015	0.2207208	03/10/2015 	0.1554
01/03/2015	0.2196876	10/10/2015 	0.42
02/03/2015	0.2177345	21/10/2015 	0.42
03/03/2015	0.2176052	22/10/2015 	0.42
04/03/2015	0.2166123	27/10/2015 	0.252
05/03/2015	0.2219243	02/11/2015 	0.3843
06/03/2015	0.2273339	03/11/2015 	0.3045
07/03/2015	0.2279744	14/11/2015 	0.2898
08/03/2015	0.2267621	15/11/2015 	0.2226
09/03/2015	0.2252048	20/11/2015 	0.2457
10/03/2015	0.2238088	26/11/2015 	0.3612
11/03/2015	0.2229522	27/11/2015 	0.4179
12/03/2015	0.222145	02/12/2015 	0.2919
13/03/2015	0.2212544	08/12/2015 	0.2961
14/03/2015	0.2198072	09/12/2015 	0.2583
15/03/2015	0.2183136	14/12/2015 	0.2373
16/03/2015	0.217494	20/12/2015 	0.2541
17/03/2015	0.2171589	21/12/2015 	0.21
18/03/2015	0.2178621	26/12/2015 	0.2184
19/03/2015	0.2164926	01/01/2016 	0.189
20/03/2015	0.21462	02/01/2016 	0.2331
21/03/2015	0.2125821	07/01/2016 	0.2205
22/03/2015	0.2143912	13/01/2016 	0.1638
23/03/2015	0.2206349	14/01/2016 	0.1491
24/03/2015	0.2213543	19/01/2016 	0.1281
25/03/2015	0.2252231	25/01/2016 	0.1659
26/03/2015	0.2259319	26/01/2016 	0.1197
27/03/2015	0.2248115	31/01/2016 	0.1428
28/03/2015	0.2261293	06/02/2016 	0.1218
29/03/2015	0.2247596	07/02/2016 	0.1197
30/03/2015	0.2218201	12/02/2016 	0.2079
31/03/2015	0.2193385	18/02/2016 	0.2793
01/04/2015	0.2154572	19/02/2016 	0.2058
02/04/2015	0.2122098	24/02/2016 	0.1302
03/04/2015	0.209681	01/03/2016 	0.3801
04/04/2015	0.2082414	02/03/2016 	0.1113
05/04/2015	0.2096837	13/03/2016 	0.2625
06/04/2015	0.2144809	14/03/2016 	0.1617
07/04/2015	0.2168417	25/03/2016 	0.1911
08/04/2015	0.2153395	26/03/2016 	0.0945
09/04/2015	0.2136737	31/03/2016 	0.0609
10/04/2015	0.211182	06/04/2016 	0.1575
11/04/2015	0.2084075	07/04/2016 	0.0252
12/04/2015	0.2058355	12/04/2016 	0.0777
13/04/2015	0.2041556	18/04/2016 	0.084
14/04/2015	0.2019977	19/04/2016 	0.0399
15/04/2015	0.2003743	24/04/2016 	0.1596
16/04/2015	0.1983215	30/04/2016 	0.0903
17/04/2015	0.1960915	01/05/2016 	0.0546
18/04/2015	0.194686	12/05/2016 	0.126
19/04/2015	0.1942375	13/05/2016 	0.0798
20/04/2015	0.1931411	18/05/2016 	0.1344
21/04/2015	0.1912278	24/05/2016 	0.084
22/04/2015	0.1891713	25/05/2016 	0.0735
23/04/2015	0.1874627	30/05/2016 	0.1638
24/04/2015	0.1873502	05/06/2016 	0.1848
25/04/2015	0.1885454	06/06/2016 	0.0924
26/04/2015	0.1888206	11/06/2016 	0.1323
